"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$239,945,029,119","2.95%","USA","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$236,105,803,881","6.10%","USA","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$227,805,351,192","0.24%","USA","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$226,754,153,703","4.51%","USA","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$223,694,451,667","1.04%","USA","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$220,875,313,512","1.37%","USA","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$218,631,730,000","2.52%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$215,794,200,290","0.17%","USA","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$214,144,891,283","2.64%","USA","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$211,318,850,117","4.18%","USA","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$204,540,307,653","1.00%","USA","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$203,464,622,126","2.80%","USA","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$199,081,394,441","0.66%","USA","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$193,708,200,000","7.57%","USA","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$193,143,889,305","3.31%","USA","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$192,399,964,832","1.65%","USA","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$190,761,074,156","5.25%","USA","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$179,827,818,326","1.76%","USA","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$177,349,796,835","2.14%","USA","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$175,889,963,675","2.12%","USA","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$172,693,579,085","0.00%","USA","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$167,088,520,000","2.09%","USA","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$163,406,024,696","1.80%","USA","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$163,390,800,000","1.82%","USA","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$159,578,886,112","0.80%","USA","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$159,126,627,394","4.61%","USA","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$155,093,022,772","0.42%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$154,281,693,373","0.00%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$148,377,607,432","0.00%","USA","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$147,992,762,630","2.85%","USA","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$147,935,050,507","2.76%","USA","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$145,337,851,522","1.61%","USA","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$143,701,809,516","1.35%","USA","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$142,571,890,871","1.26%","USA","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$142,509,422,346","0.95%","USA","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$141,476,444,739","1.18%","USA","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$135,737,992,000","1.55%","USA","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$135,124,332,415","0.00%","USA","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$133,981,138,267","1.02%","USA","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$129,979,184,712","0.00%","USA","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$129,942,835,155","1.69%","USA","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$128,772,788,971","2.29%","USA","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$126,506,147,201","3.05%","USA","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$125,278,440,000","0.00%","USA","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$124,955,981,377","4.61%","USA","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$123,336,285,971","0.00%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$123,294,886,675","0.67%","USA","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$123,275,284,956","1.18%","USA","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$123,051,248,752","0.47%","USA","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$117,665,230,286","0.87%","USA","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$116,699,000,000","0.30%","USA","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$116,518,352,322","1.96%","USA","Analyze"
"SQ","Square Inc Class A","Common stocks","Large cap","Information Technology","$113,904,250,000","0.00%","USA","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$112,863,391,248","3.00%","USA","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$110,461,601,820","2.37%","USA","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$105,630,300,000","0.68%","USA","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$103,105,662,690","0.90%","USA","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$100,241,000,577","2.79%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$97,474,048,396","0.00%","USA","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$97,071,048,810","1.83%","USA","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$96,599,305,417","0.47%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$94,662,231,630","0.00%","USA","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$91,337,178,238","6.76%","USA","Analyze"
"ANTM","Anthem Inc","Common stocks","Large cap","Health Care","$90,862,714,932","1.11%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$89,606,993,476","0.00%","United Kingdom","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$89,371,536,883","3.84%","USA","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$88,845,716,377","1.06%","USA","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$88,406,912,982","1.76%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$86,533,544,401","0.85%","USA","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$86,510,921,547","2.02%","USA","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$86,436,904,226","2.85%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","Common stocks","Large cap","Financials","$85,208,528,260","2.40%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","Common stocks","Large cap","Information Technology","$84,664,560,823","0.00%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$83,305,763,440","0.14%","USA","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$82,639,197,464","2.39%","USA","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$82,536,536,960","2.69%","USA","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$81,746,042,949","1.67%","USA","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$80,627,737,515","0.38%","USA","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$80,526,566,383","3.65%","USA","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$79,746,413,334","0.69%","USA","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$79,428,848,142","1.15%","USA","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$79,210,964,937","1.23%","USA","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$78,426,800,590","0.85%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$78,100,424,087","0.00%","USA","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$77,960,674,737","3.12%","USA","Analyze"
"COP","ConocoPhillips","Common stocks","Large cap","Energy","$75,979,517,389","3.00%","USA","Analyze"
"UBER","Uber Technologies, Inc.","Common stocks","Large cap","Industrials","$75,720,266,890","0.00%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$75,203,220,070","0.81%","USA","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$74,026,868,236","1.36%","USA","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$72,644,176,621","1.96%","USA","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$72,549,127,647","0.00%","USA","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$72,295,845,838","0.00%","USA","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$71,776,747,482","1.73%","USA","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$71,653,856,317","0.95%","USA","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$71,366,759,730","1.31%","USA","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$71,312,549,343","1.00%","USA","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$70,355,670,000","0.64%","USA","Analyze"
"DELL","Dell Technologies Inc. Class C","Common stocks","Large cap","Information Technology","$70,191,800,000","0.00%","USA","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$69,871,915,466","3.88%","USA","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$69,716,030,026","0.00%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$69,445,002,747","0.00%","USA","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$68,153,886,000","0.00%","USA","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$67,773,958,000","1.76%","USA","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$66,683,206,758","1.06%","USA","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$66,241,825,764","1.53%","USA","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$65,321,684,666","2.28%","USA","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$64,912,406,996","1.44%","USA","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$64,367,284,024","0.68%","USA","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$64,366,764,303","0.85%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$64,106,507,121","0.57%","USA","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$63,788,598,630","0.00%","USA","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$63,215,623,864","3.57%","USA","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$62,631,506,000","1.91%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$61,300,323,490","1.61%","USA","Analyze"
"TWLO","Twilio Inc Class A","Common stocks","Large cap","Information Technology","$60,303,941,156","0.00%","USA","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$60,055,701,669","0.82%","The Netherlands","Analyze"
"DASH","DoorDash Inc","Common stocks","Large cap","Consumer Discretionary","$59,701,020,400","0.00%","USA","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$59,436,411,210","2.10%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Large cap","Information Technology","$58,598,612,195","0.00%","USA","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$58,414,205,139","1.65%","USA","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$57,047,670,142","5.02%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$56,853,693,078","0.00%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$56,248,600,742","0.00%","USA","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$55,830,011,204","2.27%","USA","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$55,668,261,154","2.49%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$55,454,251,455","0.00%","USA","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$53,912,646,949","0.00%","USA","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$53,787,453,627","2.96%","USA","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$53,687,114,486","0.41%","USA","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$53,224,517,754","1.41%","USA","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$52,741,466,937","0.44%","USA","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$52,553,126,605","0.69%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$52,378,153,250","1.09%","USA","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$52,227,272,926","0.00%","USA","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$52,142,052,465","0.65%","USA","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$51,904,841,991","0.54%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$51,864,924,528","0.00%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$51,618,982,412","0.00%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$51,476,455,985","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$51,432,480,000","0.00%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$51,146,787,303","0.00%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$50,726,868,586","0.00%","USA","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$50,615,019,979","0.00%","USA","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$50,604,345,415","0.75%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$50,601,938,805","0.00%","USA","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$50,527,497,668","1.74%","USA","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Industrials","$50,450,580,546","0.46%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$50,378,120,240","0.00%","USA","Analyze"
"INFO","IHS Markit Ltd","Common stocks","Large cap","Industrials","$50,322,175,071","0.64%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$50,268,130,000","0.10%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$49,795,965,359","0.42%","USA","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$49,732,982,068","0.00%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$49,670,764,060","0.89%","USA","Analyze"
"SCCO","Southern Copper Corp","Common stocks","Large cap","Materials","$48,704,119,947","4.22%","Peru","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$48,691,627,176","2.23%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$48,236,519,248","3.18%","USA","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$48,215,811,985","0.47%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$48,001,805,279","3.08%","USA","Analyze"
"PLTR","Palantir Technologies Inc.","Common stocks","Large cap","Information Technology","$47,974,861,543","0.00%","USA","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$47,231,857,982","1.12%","USA","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$47,044,686,059","2.30%","USA","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$46,659,121,335","1.60%","USA","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$46,501,149,097","2.98%","USA","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$45,917,510,562","3.20%","USA","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,910,716,786","0.54%","USA","Analyze"
"VEEV","Veeva Systems Inc Class A","Common stocks","Large cap","Health Care","$45,648,419,099","0.00%","USA","Analyze"
"ROKU","Roku Class A","Common stocks","Large cap","Communication Services","$45,318,200,636","0.00%","USA","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$45,246,033,757","2.81%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,968,446,600","0.00%","USA","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$44,924,464,204","0.00%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$44,667,442,059","3.27%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$44,506,824,008","3.27%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$44,295,778,359","0.00%","USA","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$43,932,026,381","3.90%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$43,676,522,454","1.01%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$42,458,076,100","0.48%","USA","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$42,310,089,649","0.00%","Ireland","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$42,106,633,726","3.23%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$41,934,584,595","3.82%","USA","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$41,797,389,075","0.55%","USA","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$41,440,960,000","4.17%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$41,153,778,258","2.22%","USA","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$41,113,706,126","1.13%","USA","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$41,054,447,395","2.25%","USA","Analyze"
"SPOT","Spotify Technology SA","Common stocks","Large cap","Communication Services","$40,909,620,000","0.00%","Luxembourg","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$40,813,223,831","0.00%","USA","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$40,793,221,329","1.07%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$40,678,123,493","0.36%","USA","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$40,666,431,873","1.72%","USA","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$40,659,150,414","1.56%","USA","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$40,654,182,662","2.23%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$40,597,127,728","1.21%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$40,440,304,161","2.10%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$40,331,240,194","1.34%","USA","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$39,973,047,371","1.03%","USA","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$39,337,161,360","1.37%","USA","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$39,315,260,610","1.25%","USA","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$39,307,710,404","1.59%","USA","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$39,267,905,059","0.74%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$39,030,312,507","1.42%","USA","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$38,936,651,689","1.49%","USA","Analyze"
"XLNX","Xilinx Inc","Common stocks","Large cap","Information Technology","$38,671,850,926","0.24%","USA","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$38,653,744,469","0.62%","USA","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$38,413,788,907","1.36%","USA","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$38,304,894,724","3.82%","USA","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$38,292,623,614","2.21%","USA","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Large cap","Information Technology","$38,183,007,715","0.00%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","Common stocks","Large cap","Information Technology","$37,973,061,000","0.00%","USA","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$37,815,495,071","2.01%","USA","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$37,601,580,022","6.27%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$37,497,457,258","0.00%","USA","Analyze"
"KKR","KKR & Co Inc.","Common stocks","Large cap","Financials","$37,430,588,467","0.66%","USA","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$37,320,833,739","1.32%","USA","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$37,303,127,161","0.00%","USA","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$37,001,268,355","1.09%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$36,990,597,924","2.56%","USA","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$36,978,361,562","1.04%","USA","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$36,555,979,460","1.87%","USA","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$36,192,110,868","0.00%","USA","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$36,188,281,446","2.82%","USA","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$35,626,224,902","0.00%","USA","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$35,549,186,543","0.00%","USA","Analyze"
